movie_id,title,publication_year,genre_id
498,Super 8,2011,12
499,Law Abiding Citizen,2009,13
500,Up,2009,8
501,Maze Runner: The Scorch Trials,2015,11
502,Carol,2015,13
503,Imperium,2016,2
504,Youth,2015,10
505,Mr. Nobody,2009,15
506,City of Tiny Lights,2016,19
507,Savages,2012,8
508,(500) Days of Summer,2009,4
509,Movie 43,2013,6
510,Gravity,2013,16
511,The Boy in the Striped Pyjamas,2008,7
512,Shooter,2007,15
513,The Happening,2008,9
514,Bone Tomahawk,2015,3
515,Magic Mike XXL,2015,12
516,Easy A,2010,14
517,Exodus: Gods and Kings,2014,19
518,Chappie,2015,15
519,The Hobbit: The Desolation of Smaug,2013,14
520,Half of a Yellow Sun,2013,9
521,Anthropoid,2016,3
522,The Counselor,2013,8
523,Viking,2016,7
524,Whiskey Tango Foxtrot,2016,18
525,Trust,2010,17
526,Birth of the Dragon,2016,8
527,Elysium,2013,16
528,The Green Inferno,2013,12
529,Godzilla,2014,10
530,The Bourne Legacy,2012,4
531,A Good Year,2006,10
532,Friend Request,2016,10
533,Deja Vu,2006,18
534,Lucy,2014,9
535,A Quiet Passion,2016,11
536,Need for Speed,2014,10
537,Jack Reacher,2012,18
538,The Do-Over,2016,1
539,True Crimes,2016,19
540,American Pastoral,2016,12
541,The Ghost Writer,2010,12
542,Limitless,2011,5
543,Spectral,2016,4
544,P.S. I Love You,2007,4
545,Zipper,2015,5
546,Midnight Special,2016,12
547,Don't Think Twice,2016,7
548,Alice in Wonderland,2010,13
549,Chuck,2016,19
550,"I, Daniel Blake",2016,13
551,The Break-Up,2006,9
552,Loving,2016,10
553,Fantastic Four,2015,19
554,The Survivalist,2015,2
555,Colonia,2015,16
556,The Boy Next Door,2015,3
557,The Gift,2015,5
558,Dracula Untold,2014,1
559,In the Heart of the Sea,2015,15
560,Idiocracy,2006,3
561,The Expendables,2010,5
562,Evil Dead,2013,7
563,Sinister,2012,2
564,Wreck-It Ralph,2012,16
565,Snow White and the Huntsman,2012,10
566,Pan,2015,6
567,Transformers: Dark of the Moon,2011,16
568,Juno,2007,5
569,A Hologram for the King,2016,17
570,Money Monster,2016,7
571,The Other Woman,2014,17
572,Enchanted,2007,12
573,The Intern,2015,7
574,Little Miss Sunshine,2006,7
575,Bleed for This,2016,12
576,Clash of the Titans,2010,17
577,The Finest Hours,2016,6
578,Tron,2010,19
579,The Hunger Games: Catching Fire,2013,9
580,All Good Things,2010,4
581,Kickboxer: Vengeance,2016,16
582,The Last Airbender,2010,7
583,Sex Tape,2014,15
584,What to Expect When You're Expecting,2012,2
585,Moneyball,2011,8
586,Ghost Rider,2007,4
587,Unbroken,2014,16
588,Immortals,2011,15
589,Sunshine,2007,8
590,Brave,2012,13
591,Män som hatar kvinnor,2009,4
592,Adoration,2013,6
593,The Drop,2014,8
594,She's the Man,2006,10
595,Daddy's Home,2015,15
596,Let Me In,2010,11
597,Never Back Down,2008,11
598,Grimsby,2016,10
599,Moon,2009,13
600,Megamind,2010,3
601,Gangster Squad,2013,18
602,Blood Father,2016,1
603,He's Just Not That Into You,2009,2
604,Kung Fu Panda 3,2016,17
605,The Rise of the Krays,2015,9
606,Handsome Devil,2016,2
607,Winter's Bone,2010,17
608,Horrible Bosses,2011,11
609,Mommy,2014,19
610,Hellboy II: The Golden Army,2008,8
611,Beautiful Creatures,2013,12
612,Toni Erdmann,2016,12
613,The Lovely Bones,2009,12
614,The Assassination of Jesse James by the Coward Robert Ford,2007,8
615,Don Jon,2013,14
616,Bastille Day,2016,13
617,2307: Winter's Dream,2016,11
618,Free State of Jones,2016,2
619,Mr. Right,2015,8
620,The Secret Life of Walter Mitty,2013,7
621,Dope,2015,11
622,Underworld Awakening,2012,12
623,Antichrist,2009,8
624,Friday the 13th,2009,19
625,Taken 3,2014,13
626,Total Recall,2012,1
627,X-Men: The Last Stand,2006,9
628,The Escort,2016,14
629,The Whole Truth,2016,8
630,Night at the Museum: Secret of the Tomb,2014,17
631,Love & Other Drugs,2010,12
632,The Interview,2014,1
633,The Host,2006,4
634,Megan Is Missing,2011,4
635,WALL·E,2008,5
636,Knocked Up,2007,16
637,Source Code,2011,16
638,Lawless,2012,6
639,Unfriended,2014,4
640,American Reunion,2012,14
641,The Pursuit of Happyness,2006,19
642,Relatos salvajes,2014,5
643,The Ridiculous 6,2015,11
644,Frantz,2016,7
645,Viral,2016,4
646,Gran Torino,2008,11
647,Burnt,2015,3
648,Tall Men,2016,6
649,Sleeping Beauty,2011,8
650,Vampire Academy,2014,4
651,Sweeney Todd: The Demon Barber of Fleet Street,2007,4
652,Solace,2015,8
653,Insidious,2010,10
654,Popstar: Never Stop Never Stopping,2016,12
655,The Levelling,2016,11
656,Public Enemies,2009,17
657,Boyhood,2014,2
658,Teenage Mutant Ninja Turtles,2014,8
659,Eastern Promises,2007,19
660,The Daughter,2015,16
661,Pineapple Express,2008,15
662,The First Time,2012,9
663,Gone Baby Gone,2007,18
664,The Heat,2013,6
665,L'avenir,2016,7
666,Anna Karenina,2012,14
667,Regression,2015,14
668,Ted 2,2015,12
669,Pain & Gain,2013,3
670,Blood Diamond,2006,10
671,Devil's Knot,2013,19
672,Child 44,2015,3
673,The Hurt Locker,2008,15
674,Green Lantern,2011,17
675,War on Everyone,2016,13
676,The Mist,2007,12
677,Escape Plan,2013,13
678,"Love, Rosie",2014,16
679,The DUFF,2015,9
680,The Age of Shadows,2016,2
681,The Hunger Games: Mockingjay - Part 1,2014,3
682,We Need to Talk About Kevin,2011,8
683,Love & Friendship,2016,3
684,The Mortal Instruments: City of Bones,2013,5
685,Seven Pounds,2008,5
686,The King's Speech,2010,11
687,Hunger,2008,19
688,Jumper,2008,13
689,Toy Story 3,2010,2
690,Tinker Tailor Soldier Spy,2011,15
691,Resident Evil: Retribution,2012,19
692,Dear Zindagi,2016,18
693,Genius,2016,13
694,Pompeii,2014,18
695,Life of Pi,2012,13
696,Hachi: A Dog's Tale,2009,11
697,10 Years,2011,5
698,I Origins,2014,19
699,Live Free or Die Hard,2007,5
700,The Matchbreaker,2016,16
701,Funny Games,2007,18
702,Ted,2012,4
703,RED,2010,11
704,Australia,2008,6
705,Faster,2010,7
706,The Neighbor,2016,13
707,The Adjustment Bureau,2011,7
708,The Hollars,2016,14
709,The Judge,2014,3
710,Closed Circuit,2013,14
711,Transformers: Revenge of the Fallen,2009,7
712,La tortue rouge,2016,2
713,The Book of Life,2014,18
714,Incendies,2010,4
715,The Heartbreak Kid,2007,19
716,Happy Feet,2006,1
717,Entourage,2015,5
718,The Strangers,2008,4
719,Noah,2014,13
720,Neighbors,2014,12
721,Nymphomaniac: Vol. II,2013,5
722,Wild,2014,14
723,Grown Ups,2010,4
724,Blair Witch,2016,6
725,The Karate Kid,2010,15
726,Dark Shadows,2012,1
727,Friends with Benefits,2011,18
728,The Illusionist,2006,13
729,The A-Team,2010,16
730,The Guest,2014,16
731,The Internship,2013,1
732,Paul,2011,9
733,This Beautiful Fantastic,2016,9
734,The Da Vinci Code,2006,14
735,Mr. Church,2016,4
736,Hugo,2011,5
737,The Blackcoat's Daughter,2015,19
738,Body of Lies,2008,2
739,Knight of Cups,2015,10
740,The Mummy: Tomb of the Dragon Emperor,2008,9
741,The Boss,2016,16
742,Hands of Stone,2016,12
743,El secreto de sus ojos,2009,19
744,True Grit,2010,1
745,We Are Your Friends,2015,18
746,A Million Ways to Die in the West,2014,11
747,Only for One Night,2016,7
748,Rules Don't Apply,2016,13
749,Ouija: Origin of Evil,2016,1
750,Percy Jackson: Sea of Monsters,2013,17
751,Fracture,2007,2
752,Oculus,2013,6
753,In Bruges,2008,8
754,This Means War,2012,16
755,Lída Baarová,2016,6
756,The Road,2009,16
757,Lavender,2016,12
758,Deuces,2016,10
759,Conan the Barbarian,2011,18
760,The Fighter,2010,15
761,August Rush,2007,17
762,Chef,2014,4
763,Eye in the Sky,2015,13
764,Eagle Eye,2008,5
765,The Purge,2013,10
766,PK,2014,6
767,Ender's Game,2013,2
768,Indiana Jones and the Kingdom of the Crystal Skull,2008,14
769,Paper Towns,2015,1
770,High-Rise,2015,16
771,Quantum of Solace,2008,18
772,The Assignment,2016,11
773,How to Train Your Dragon,2010,10
774,Lady in the Water,2006,12
775,The Fountain,2006,14
776,Cars 2,2011,12
777,Tiger,2016,4
778,Final Girl,2015,16
779,Chalk It Up,2016,6
780,The Man Who Knew Infinity,2015,18
781,Unknown,2011,5
782,Self/less,2015,13
783,Mr. Brooks,2007,1
784,Tramps,2016,19
785,Before We Go,2014,8
786,Captain Phillips,2013,4
787,The Secret Scripture,2016,5
788,Max Steel,2016,8
789,Hotel Transylvania 2,2015,19
790,Hancock,2008,6
791,Sisters,2015,5
792,The Family,2013,3
793,Zack and Miri Make a Porno,2008,12
794,Ma vie de Courgette,2016,13
795,Man on a Ledge,2012,14
796,No Strings Attached,2011,5
797,Rescue Dawn,2006,4
798,Despicable Me 2,2013,9
799,A Walk Among the Tombstones,2014,6
800,The World's End,2013,6
801,Yoga Hosers,2016,5
802,Seven Psychopaths,2012,7
803,Beowulf,2007,8
804,Jack Ryan: Shadow Recruit,2014,10
805,Force,2007,2
806,The Gambler,2014,13
807,Prince of Persia: The Sands of Time,2010,17
808,The Spectacular Now,2013,18
809,A United Kingdom,2016,11
810,USS Indianapolis: Men of Courage,2016,1
811,Turbo Kid,2015,6
812,Mama,2013,13
813,Orphan,2009,13
814,To Rome with Love,2012,14
815,Fantastic Mr. Fox,2009,12
816,Inside Man,2006,16
817,IT,2016,18
818,127 Hours,2010,9
819,Annabelle,2014,6
820,Wolves at the Door,2016,8
821,Suite Française,2014,19
822,The Imaginarium of Doctor Parnassus,2009,14
823,G.I. Joe: The Rise of Cobra,2009,7
824,Christine,2016,10
825,Man Down,2015,6
826,Crawlspace,2016,14
827,Shut In,2016,15
828,The Warriors Gate,2016,2
829,Grindhouse,2007,15
830,Disaster Movie,2008,17
831,Rocky Balboa,2006,7
832,Diary of a Wimpy Kid: Dog Days,2012,16
833,Jane Eyre,2011,11
834,Fool's Gold,2008,13
835,The Dictator,2012,8
836,The Loft,2014,18
837,Bacalaureat,2016,15
838,You Don't Mess with the Zohan,2008,1
839,Exposed,2016,4
840,Maudie,2016,6
841,Horrible Bosses 2,2014,17
842,A Bigger Splash,2015,8
843,Melancholia,2011,8
844,The Princess and the Frog,2009,11
845,Unstoppable,2010,16
846,Flight,2012,6
847,Home,2015,19
848,La migliore offerta,2013,16
849,Mean Dreams,2016,9
850,Fiza,2013,17
851,Rocky ,2008,4
852,Begin Again,2013,18
853,Out of the Furnace,2013,9
854,Vicky Cristina Barcelona,2008,12
855,Kung Fu Panda,2008,15
856,Barbershop: The Next Cut,2016,8
857,Terminator Salvation,2009,19
858,Freedom Writers,2007,19
859,The Hills Have Eyes,2006,10
860,Changeling,2008,7
861,Remember Me,2010,14
862,Koe no katachi,2016,19
863,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,12
864,Locke,2013,12
865,The 9th Life of Louis Drax,2016,7
866,Horns,2013,2
867,Indignation,2016,7
868,The Stanford Prison Experiment,2015,10
869,Diary of a Wimpy Kid: Rodrick Rules,2011,3
870,Mission: Impossible III,2006,14
871,En man som heter Ove,2015,9
872,Dragonball Evolution,2009,2
873,Red Dawn,2012,15
874,One Day,2011,5
875,Life as We Know It,2010,9
876,28 Weeks Later,2007,17
877,Warm Bodies,2013,9
878,Blue Jasmine,2013,6
879,G.I. Joe: Retaliation,2013,13
880,Wrath of the Titans,2012,11
881,Shin Gojira,2016,11
882,Saving Mr. Banks,2013,19
883,Transcendence,2014,1
884,Rio,2011,13
885,Equals,2015,10
886,Babel,2006,13
887,The Tree of Life,2011,14
888,The Lucky One,2012,4
889,Piranha 3D,2010,12
890,Crash Landing,2011,5
891,The Intent,2016,2
892,This Is 40,2012,19
893,Real Steel,2011,11
894,Sex and the City,2008,10
895,Rambo,2008,13
896,Planet Terror,2007,12
897,Concussion,2015,12
898,The Fall,2006,7
899,The Ugly Truth,2009,9
900,Bride Wars,2009,7
901,Sleeping with Other People,2015,1
902,Snakes on a Plane,2006,16
903,What If,2013,7
904,How to Train Your Dragon 2,2014,9
905,RoboCop,2014,6
906,In Dubious Battle,2016,5
907,"Hello, My Name Is Doris",2015,2
908,Ocean's Thirteen,2007,18
909,Slither,2006,17
910,Contagion,2011,18
911,Il racconto dei racconti - Tale of Tales,2015,11
912,I Am the Pretty Thing That Lives in the House,2016,3
913,Bridge to Terabithia,2007,5
914,Coherence,2013,7
915,Notorious,2009,6
916,Goksung,2016,5
917,The Expendables 2,2012,5
918,The Girl Next Door,2007,2
919,Perfume: The Story of a Murderer,2006,7
920,The Golden Compass,2007,6
921,Centurion,2010,15
922,Scouts Guide to the Zombie Apocalypse,2015,6
923,17 Again,2009,13
924,No Escape,2015,15
925,Superman Returns,2006,12
926,The Twilight Saga: Breaking Dawn - Part 1,2011,17
927,Precious,2009,15
928,The Sea of Trees,2015,15
929,Good Kids,2016,1
930,The Master,2012,2
931,Footloose,2011,10
932,If I Stay,2014,1
933,The Ticket,2016,19
934,Detour,2016,10
935,The Love Witch,2016,3
936,Talladega Nights: The Ballad of Ricky Bobby,2006,17
937,The Human Centipede (First Sequence),2009,1
938,Super,2010,9
939,The Siege of Jadotville,2016,15
940,Up in the Air,2009,5
941,The Midnight Meat Train,2008,16
942,The Twilight Saga: Eclipse,2010,14
943,Transpecos,2016,14
944,What's Your Number?,2011,18
945,Riddick,2013,8
946,Triangle,2009,13
947,The Butler,2013,2
948,King Cobra,2016,19
949,After Earth,2013,13
950,Kicks,2016,16
951,Me and Earl and the Dying Girl,2015,6
952,The Descendants,2011,14
953,Sex and the City 2,2010,5
954,The Kings of Summer,2013,18
955,Death Race,2008,12
956,That Awkward Moment,2014,14
957,Legion,2010,4
958,End of Watch,2012,5
959,3 Days to Kill,2014,4
960,Lucky Number Slevin,2006,14
961,Trance,2013,18
962,Into the Forest,2015,5
963,The Other Boleyn Girl,2008,16
964,I Spit on Your Grave,2010,9
965,Custody,2016,6
966,Inland Empire,2006,16
967,L'odyssée,2016,11
968,The Walk,2015,1
969,Wrecker,2015,7
970,The Lone Ranger,2013,7
971,Texas Chainsaw 3D,2013,17
972,Disturbia,2007,17
973,Rock of Ages,2012,14
974,Scream 4,2011,19
975,Queen of Katwe,2016,19
976,My Big Fat Greek Wedding 2,2016,15
977,Dark Places,2015,15
978,Amateur Night,2016,13
979,It's Only the End of the World,2016,11
980,The Skin I Live In,2011,7
981,Miracles from Heaven,2016,16
982,Annie,2014,15
983,Across the Universe,2007,17
984,Let's Be Cops,2014,9
985,Max,2015,8
986,Your Highness,2011,16
987,Final Destination 5,2011,12
988,Endless Love,2014,12
989,Martyrs,2008,7
990,Selma,2014,2
991,Underworld: Rise of the Lycans,2009,6
992,Taare Zameen Par,2007,3
993,Take Me Home Tonight,2011,4
994,Resident Evil: Afterlife,2010,6
995,Project X,2012,1
996,Secret in Their Eyes,2015,19
997,Hostel: Part II,2007,6
998,Step Up 2: The Streets,2008,19
999,Search Party,2014,2
1000,Nine Lives,2016,17
